Category,Scientific name,Latitude,Longitude,Date,County,Family,AU id,collector,id_method,id_by,alate
Native subterranean termite,Reticulitermes malletei,32.671711,-85.514211,2024-03-22,Lee County,Heterotermitidae,AUT-2024-0027,NM,,,no
Native subterranean termite,Reticulitermes flavipes,32.675154,-85.512076,2024-03-22,Lee County,Heterotermitidae,AUT-2024-0029,NM,16s,MS,yes
Dark southern drywood termite,Kalotermes approximatus,32.584025,-85.417302,2024-04-03,Lee County,Kalotermitidae,AUT-2024-0026,NM,morphology,NM,no
Formosan subterranean termite,Coptotermes formosanus,30.656547,-88.188252,2024-05-22,Mobile County,Heterotermitidae,AUT-2024-0044,NM,morphology,NM,no
Native subterranean termite,Reticulitermes flavipes,30.274252,-87.648552,2024-05-23,Baldwin County,Heterotermitidae,AUT-2024-0003,NM,16s,MS,no
Native subterranean termite,Reticulitermes flavipes,30.294508,-87.572339,2024-05-23,Baldwin County,Heterotermitidae,AUT-2024-0004,NM,16s,MS,no
Dark southern drywood termite,Kalotermes approximatus,30.274743,-87.647573,2024-05-23,Baldwin County,Kalotermitidae,AUT-2024-0023,NM,morphology,NM,no
Dark southern drywood termite,Kalotermes approximatus,30.630542,-87.916072,2024-05-23,Baldwin County,Kalotermitidae,AUT-2024-0024,NM,morphology,NM,no
Formosan subterranean termite,Coptotermes formosanus,30.676704,-88.129565,2024-05-23,Mobile County,Heterotermitidae,AUT-2024-0034,NM,morphology,NM,no
Formosan subterranean termite,Coptotermes formosanus,30.628471,-87.921011,2024-05-23,Baldwin County,Heterotermitidae,AUT-2024-0037,NM,morphology,NM,yes
Native subterranean termite,Reticulitermes flavipes,32.968327,-85.647177,2024-06-13,Tallapoosa County,Heterotermitidae,AUT-2024-0022,NM,16s,MS,no
Formosan subterranean termite,Coptotermes formosanus,30.254969,-87.706271,2024-06-28,Baldwin County,Heterotermitidae,AUT-2024-0046,Anthony Green,soldier,SH,no
Native subterranean termite,Reticulitermes virginicus,34.509550,-86.957437,2024-07-01,Morgan County,Heterotermitidae,AUT-2024-0042,NM,COI,UCR,no
Native subterranean termite,Reticulitermes flavipes,34.513355,-86.957288,2024-07-02,Morgan County,Heterotermitidae,AUT-2024-0001,NM,16s,MS,no
Native subterranean termite,Reticulitermes flavipes,34.509960,-86.956679,2024-07-02,Morgan County,Heterotermitidae,AUT-2024-0005,NM,16s,MS,no
Formosan subterranean termite,Coptotermes formosanus,34.587204,-87.030477,2024-07-02,Morgan County,Heterotermitidae,AUT-2024-0036,Cook Pest Management,morphology,NM,no
Native subterranean termite,Reticulitermes hageni,34.508233,-86.955542,2024-07-02,Morgan County,Heterotermitidae,AUT-2024-0039,NM,COI,UCR,no
Native subterranean termite,Reticulitermes hageni,34.574767,-86.946251,2024-07-02,Morgan County,Heterotermitidae,AUT-2024-0041,NM,COI,UCR,yes
Formosan subterranean termite,Coptotermes formosanus,30.745639,-88.262975,2024-07-02,Mobile County,Heterotermitidae,AUT-2024-0049,Anthony Green,soldier,SH,no
Formosan subterranean termite,Coptotermes formosanus,30.747074,-88.275284,2024-07-02,Mobile County,Heterotermitidae,AUT-2024-0079,Anthony Green,soldier,SH,no
Formosan subterranean termite,Coptotermes formosanus,30.755649,-88.074957,2024-07-03,Mobile County,Heterotermitidae,AUT-2024-0052,Anthony Green,soldier,SH,no
Formosan subterranean termite,Coptotermes formosanus,30.663259,-88.104217,2024-07-08,Mobile County,Heterotermitidae,AUT-2024-0050,Anthony Green,soldier,SH,no
Native subterranean termite,Reticulitermes sp,30.871589,-88.029730,2024-07-09,Mobile County,Heterotermitidae,AUT-2024-0066,Anthony Green,soldier,SH,no
