County,FirstDetectedYear,Location,Species,RecordType,Note
Mobile,1984,"Mobile County, Alabama",Coptotermes formosanus,Published historical county record,County-level record; marker is not a specimen location
Lee,1986,"Lee County, Alabama",Coptotermes formosanus,Published historical county record,County-level record; marker is not a specimen location
Baldwin,1988,"Baldwin County, Alabama",Coptotermes formosanus,Published historical county record,County-level record; marker is not a specimen location
Jackson,1996,"Jackson County, Alabama",Coptotermes formosanus,Published historical county record,County-level record; marker is not a specimen location
Calhoun,1997,"Calhoun County, Alabama",Coptotermes formosanus,Published historical county record,County-level record; marker is not a specimen location
Lowndes,1998,"Lowndes County, Alabama",Coptotermes formosanus,Published historical county record,County-level record; marker is not a specimen location
Clay,1999,"Clay County, Alabama",Coptotermes formosanus,Published historical county record,County-level record; marker is not a specimen location
Montgomery,2001,"Montgomery County, Alabama",Coptotermes formosanus,Published historical county record,County-level record; marker is not a specimen location
Jefferson,2001,"Jefferson County, Alabama",Coptotermes formosanus,Published historical county record,County-level record; marker is not a specimen location
Shelby,2001,"Shelby County, Alabama",Coptotermes formosanus,Published historical county record,County-level record; marker is not a specimen location
Cullman,2003,"Cullman County, Alabama",Coptotermes formosanus,Published historical county record,County-level record; marker is not a specimen location
St. Clair,2003,"St. Clair County, Alabama",Coptotermes formosanus,Published historical county record,County-level record; marker is not a specimen location
Monroe,2004,"Monroe County, Alabama",Coptotermes formosanus,Published historical county record,County-level record; marker is not a specimen location
Elmore,2005,"Elmore County, Alabama",Coptotermes formosanus,Published historical county record,County-level record; marker is not a specimen location
Etowah,2006,"Etowah County, Alabama",Coptotermes formosanus,Published historical county record,County-level record; marker is not a specimen location
Escambia,2007,"Escambia County, Alabama",Coptotermes formosanus,Published historical county record,County-level record; marker is not a specimen location
Covington,2008,"Covington County, Alabama",Coptotermes formosanus,Published historical county record,County-level record; marker is not a specimen location
Chilton,2011,"Chilton County, Alabama",Coptotermes formosanus,Published historical county record,County-level record; marker is not a specimen location
Houston,2012,"Houston County, Alabama",Coptotermes formosanus,Published historical county record,County-level record; marker is not a specimen location
Clarke,2013,"Clarke County, Alabama",Coptotermes formosanus,Published historical county record,County-level record; marker is not a specimen location
Autauga,2016,"Autauga County, Alabama",Coptotermes formosanus,Published historical county record,County-level record; marker is not a specimen location
Dale,2016,"Dale County, Alabama",Coptotermes formosanus,Published historical county record,County-level record; marker is not a specimen location
Tuscaloosa,2022,"Tuscaloosa County, Alabama",Coptotermes formosanus,Published historical county record,County-level record; marker is not a specimen location
Blount,2017,"Blount County, Alabama",Coptotermes formosanus,Published historical county record,County-level record; marker is not a specimen location
Talladega,2017,"Talladega County, Alabama",Coptotermes formosanus,Published historical county record,County-level record; marker is not a specimen location
Tallapoosa,2020,"Tallapoosa County, Alabama",Coptotermes formosanus,Published historical county record,County-level record; marker is not a specimen location
Pike,2022,"Pike County, Alabama",Coptotermes formosanus,Published historical county record,County-level record; marker is not a specimen location
Coosa,2022,"Coosa County, Alabama",Coptotermes formosanus,Published historical county record,County-level record; marker is not a specimen location
Geneva,2024,"Geneva County, Alabama",Coptotermes formosanus,Published historical county record,County-level record; marker is not a specimen location
Morgan,2024,"Morgan County, Alabama",Coptotermes formosanus,Published historical county record,County-level record; marker is not a specimen location
Marshall,2024,"Marshall County, Alabama",Coptotermes formosanus,Published historical county record,County-level record; marker is not a specimen location
Russell,2025,"Russell County, Alabama",Coptotermes formosanus,Published historical county record,County-level record; marker is not a specimen location
