Category,Scientific name,Latitude,Longitude,Date,County,Family,AU id,collector,id_method,id_by,alate
Formosan subterranean termite,Coptotermes formosanus,30.656547,-88.188252,2024-05-22,Mobile County,Heterotermitidae,AUT-2024-0044,NM,morphology,NM,no
Formosan subterranean termite,Coptotermes formosanus,30.676704,-88.129565,2024-05-23,Mobile County,Heterotermitidae,AUT-2024-0034,NM,morphology,NM,no
Formosan subterranean termite,Coptotermes formosanus,30.628471,-87.921011,2024-05-23,Baldwin County,Heterotermitidae,AUT-2024-0037,NM,morphology,NM,yes
Formosan subterranean termite,Coptotermes formosanus,30.254969,-87.706271,2024-06-28,Baldwin County,Heterotermitidae,AUT-2024-0046,Anthony Green,soldier,SH,no
Formosan subterranean termite,Coptotermes formosanus,34.587204,-87.030477,2024-07-02,Morgan County,Heterotermitidae,AUT-2024-0036,Cook Pest Management,morphology,NM,no
Formosan subterranean termite,Coptotermes formosanus,30.745639,-88.262975,2024-07-02,Mobile County,Heterotermitidae,AUT-2024-0049,Anthony Green,soldier,SH,no
Formosan subterranean termite,Coptotermes formosanus,30.747074,-88.275284,2024-07-02,Mobile County,Heterotermitidae,AUT-2024-0079,Anthony Green,soldier,SH,no
Formosan subterranean termite,Coptotermes formosanus,30.755649,-88.074957,2024-07-03,Mobile County,Heterotermitidae,AUT-2024-0052,Anthony Green,soldier,SH,no
Formosan subterranean termite,Coptotermes formosanus,30.663259,-88.104217,2024-07-08,Mobile County,Heterotermitidae,AUT-2024-0050,Anthony Green,soldier,SH,no
Formosan subterranean termite,Coptotermes formosanus,30.500989,-88.234300,2024-07-11,Mobile County,Heterotermitidae,AUT-2024-0051,Anthony Green,soldier,SH,no
Formosan subterranean termite,Coptotermes formosanus,30.770020,-88.189603,2024-07-11,Mobile County,Heterotermitidae,AUT-2024-0061,Anthony Green,soldier,SH,no
Formosan subterranean termite,Coptotermes formosanus,30.603269,-88.095071,2024-07-12,Mobile County,Heterotermitidae,AUT-2024-0055,Anthony Green,soldier,SH,no
Formosan subterranean termite,Coptotermes formosanus,30.331588,-87.714529,2024-07-12,Baldwin County,Heterotermitidae,AUT-2024-0077,Anthony Green,soldier,SH,no
Formosan subterranean termite,Coptotermes formosanus,30.599552,-88.062318,2024-07-16,Mobile County,Heterotermitidae,AUT-2024-0073,Anthony Green,soldier,SH,no
Formosan subterranean termite,Coptotermes formosanus,30.805208,-88.072967,2024-07-22,Mobile County,Heterotermitidae,AUT-2024-0069,Anthony Green,soldier,SH,no
Formosan subterranean termite,Coptotermes formosanus,30.471793,-88.314507,2024-07-23,Mobile County,Heterotermitidae,AUT-2024-0080,Anthony Green,soldier,SH,no
Formosan subterranean termite,Coptotermes formosanus,30.857361,-88.143351,2024-07-24,Mobile County,Heterotermitidae,AUT-2024-0053,Anthony Green,soldier,SH,no
Formosan subterranean termite,Coptotermes formosanus,30.712420,-88.103486,2024-07-30,Mobile County,Heterotermitidae,AUT-2024-0063,PK,soldier,SH,no
Formosan subterranean termite,Coptotermes formosanus,30.807278,-88.077354,2024-08-02,Mobile County,Heterotermitidae,AUT-2024-0047,Anthony Green,soldier,SH,no
Formosan subterranean termite,Coptotermes formosanus,30.709414,-88.083504,2024-08-07,Mobile County,Heterotermitidae,AUT-2024-0056,PK,soldier,SH,no
Formosan subterranean termite,Coptotermes formosanus,30.480042,-88.344451,2024-08-07,Mobile County,Heterotermitidae,AUT-2024-0062,Anthony Green,soldier,SH,no
