id,genus,name,lat,lon,observed_on,place,observer,license,url
110818889,Coptotermes,Coptotermes formosanus,30.246558,-88.080703,2022-04-08,"Dauphin Island, Dauphin Island, AL, US",john_erickson,,https://www.inaturalist.org/observations/110818889
117397075,Coptotermes,Coptotermes formosanus,30.590456,-88.108743,2022-05-16,"Scenic Dr, Mobile, AL, US",ginnylh,cc-by-nc,https://www.inaturalist.org/observations/117397075
117472697,Coptotermes,Coptotermes formosanus,30.675965,-88.148577,2022-05-16,"Airport Blvd, Mobile, AL, US",anh_when,,https://www.inaturalist.org/observations/117472697
118453246,Coptotermes,Coptotermes formosanus,32.649363,-85.380220,2022-05-23,"First Ave, Opelika, AL, US",tgmoorman,,https://www.inaturalist.org/observations/118453246
118459456,Coptotermes,Coptotermes formosanus,30.577055,-88.220108,2022-05-23,"Gunn Rd, Mobile, AL, US",dshelton,cc-by-nc,https://www.inaturalist.org/observations/118459456
160212815,Coptotermes,Coptotermes formosanus,30.464863,-87.896659,2023-05-06,"Fairhope, AL 36532, USA",dtaylorforester,,https://www.inaturalist.org/observations/160212815
160769751,Coptotermes,Coptotermes formosanus,30.508792,-87.916186,2023-05-09,"Fairhope, AL 36532, USA",cft,cc0,https://www.inaturalist.org/observations/160769751
160819673,Coptotermes,Coptotermes formosanus,30.576470,-88.222938,2023-05-09,"Prince James Dr, Mobile, AL, US",dshelton,cc-by-nc,https://www.inaturalist.org/observations/160819673
160845516,Coptotermes,Coptotermes formosanus,30.625055,-88.200065,2023-05-09,"Briargrove Ct, Mobile, AL, US",f1sh,,https://www.inaturalist.org/observations/160845516
160856563,Coptotermes,Coptotermes formosanus,30.297103,-87.650939,2023-05-09,"Jordan Ct, Gulf Shores, AL, US",clrdly,cc-by-nc,https://www.inaturalist.org/observations/160856563
160868328,Coptotermes,Coptotermes formosanus,30.577038,-88.220108,2023-05-10,"Gunn Rd, Mobile, AL, US",dshelton,cc-by-nc,https://www.inaturalist.org/observations/160868328
165841979,Coptotermes,Coptotermes formosanus,30.839803,-88.072879,2023-06-05,"Satsuma, AL, USA",joecain,cc-by-nc,https://www.inaturalist.org/observations/165841979
205892709,Coptotermes,Coptotermes formosanus,30.256517,-88.107117,2024-04-07,"Dauphin Island, Dauphin Island, AL, US",vivalligator,cc-by-nc,https://www.inaturalist.org/observations/205892709
209890986,Coptotermes,Coptotermes formosanus,30.635585,-88.171625,2024-04-26,"Terrace Hills, Mobile, AL 36693, USA",bamamosaic,,https://www.inaturalist.org/observations/209890986
212492368,Coptotermes,Coptotermes formosanus,30.577033,-88.220375,2024-04-30,"Gunn Rd, Mobile, AL, US",dshelton,cc-by-nc,https://www.inaturalist.org/observations/212492368
212621764,Coptotermes,Coptotermes formosanus,30.689932,-88.195167,2024-04-30,"Old Shell Rd, Mobile, AL, US",vivalligator,cc-by-nc,https://www.inaturalist.org/observations/212621764
216430684,Coptotermes,Coptotermes formosanus,30.506750,-87.875283,2024-05-17,"Hillside Ct, Fairhope, AL, US",heather42143,,https://www.inaturalist.org/observations/216430684
217609186,Coptotermes,Coptotermes formosanus,30.252472,-87.666128,2024-05-22,"Gulf Shores, AL, USA",grayce3,,https://www.inaturalist.org/observations/217609186
240034330,Coptotermes,Coptotermes formosanus,30.590708,-88.108239,2024-09-05,"Scenic Dr, Mobile, AL, US",ginnylh,cc-by-nc,https://www.inaturalist.org/observations/240034330
252568630,Coptotermes,Coptotermes formosanus,30.683526,-88.210867,2024-11-16,"Sheldon, Mobile, AL, USA",lukesmith1222,cc-by-nc,https://www.inaturalist.org/observations/252568630
25615423,Coptotermes,Coptotermes formosanus,30.246036,-87.700819,2019-05-23,"Gulf Shores, AL, USA",gepennell,cc-by-nc,https://www.inaturalist.org/observations/25615423
25999752,Coptotermes,Coptotermes formosanus,30.640622,-88.231562,2019-05-29,"8060 Cottage Hill Rd, Mobile, AL, US",howardhorne,cc-by-nc,https://www.inaturalist.org/observations/25999752
348038785,Coptotermes,Coptotermes formosanus,30.250350,-88.079811,2026-04-06,"Dauphin Island, Dauphin Island, AL, US",lmleb,cc-by-nc,https://www.inaturalist.org/observations/348038785
35783470,Coptotermes,Coptotermes formosanus,30.653697,-87.910719,2019-06-26,"Baldwin, Alabama, United States",stevenw12339,,https://www.inaturalist.org/observations/35783470
364367685,Coptotermes,Coptotermes formosanus,30.489525,-88.186387,2026-05-23,"Deerfield Ct E, Irvington, AL, US",juliamgrant,cc-by-nc,https://www.inaturalist.org/observations/364367685
46117798,Coptotermes,Coptotermes formosanus,32.598602,-85.483188,2020-05-16,"Auburn University, Auburn, AL, US",malorie_hayes,,https://www.inaturalist.org/observations/46117798
46186752,Coptotermes,Coptotermes formosanus,30.380987,-88.138079,2020-05-16,"Coden, AL 36523, USA",john_faggard,cc-by-nc,https://www.inaturalist.org/observations/46186752
79474854,Coptotermes,Coptotermes formosanus,32.598672,-85.483467,2021-05-19,"Auburn University, Auburn, AL, US",cdrstephen,cc-by-nc,https://www.inaturalist.org/observations/79474854
80435704,Coptotermes,Coptotermes formosanus,32.598617,-85.483458,2021-05-26,"Auburn University, Auburn, AL, US",cdrstephen,cc-by-nc,https://www.inaturalist.org/observations/80435704
85940708,Coptotermes,Coptotermes formosanus,30.301853,-87.523430,2021-07-03,"Grass Island, Orange Beach, AL, US",lightning_whelk,cc-by-nc,https://www.inaturalist.org/observations/85940708
117813814,Incisitermes,Incisitermes snyderi,30.668217,-87.880295,2022-05-13,"Denise Ln, Spanish Fort, AL, US",jesseholifield,cc-by-nc,https://www.inaturalist.org/observations/117813814
207282645,Incisitermes,Incisitermes snyderi,31.102850,-87.075400,2023-08-16,"Brewton, AL, US",jesseholifield,cc-by-nc,https://www.inaturalist.org/observations/207282645
220803404,Incisitermes,Incisitermes snyderi,30.592419,-88.133006,2024-06-05,"Clemson Dr, Mobile, AL, US",taravia,cc-by-nc,https://www.inaturalist.org/observations/220803404
242327293,Kalotermes,Kalotermes approximatus,32.600533,-85.487572,2024-09-17,"Auburn University, Auburn, AL, US",richardthecrittercatcher,,https://www.inaturalist.org/observations/242327293
242517647,Kalotermes,Kalotermes approximatus,32.601170,-85.481523,2024-09-18,"Alumni Center, Auburn, AL 36830, USA",lucanus95,cc-by-nc,https://www.inaturalist.org/observations/242517647
188668146,Reticulitermes,Reticulitermes,30.410224,-87.562397,2023-10-23,"Perdido Beach, AL 36530, USA",blakefindsstuff,cc-by-nc,https://www.inaturalist.org/observations/188668146
10253043,Reticulitermes,Reticulitermes flavipes,34.656053,-86.044739,2018-03-15,"35769, Scottsboro, AL, US",izzybf,,https://www.inaturalist.org/observations/10253043
117486470,Reticulitermes,Reticulitermes flavipes,33.850428,-86.550195,2022-05-17,"Evans Dr, Oneonta, AL, US",vphollyhill,cc-by-nc,https://www.inaturalist.org/observations/117486470
121165748,Reticulitermes,Reticulitermes flavipes,34.230025,-86.403618,2022-04-13,"Alabama, US",wyrmy,cc-by-nc,https://www.inaturalist.org/observations/121165748
163005219,Reticulitermes,Reticulitermes flavipes,33.354803,-86.710272,2023-05-21,"Oak Mountain State Park, Pelham, AL, US",liannek,,https://www.inaturalist.org/observations/163005219
188328750,Reticulitermes,Reticulitermes flavipes,34.779942,-87.667053,2023-09-24,"TVA Nature Loop, Old Railroad Bridge, Colbert County, AL, USA",jeffgarner,cc-by-nc,https://www.inaturalist.org/observations/188328750
19556458,Reticulitermes,Reticulitermes flavipes,34.722474,-86.560369,2019-01-10,"Alabama, US",felidae_fever,cc-by-nc,https://www.inaturalist.org/observations/19556458
215276026,Reticulitermes,Reticulitermes flavipes,34.209992,-87.907417,2024-05-12,"County Highway 90, Hamilton, AL, US",mccarley,cc-by-nc,https://www.inaturalist.org/observations/215276026
241331749,Reticulitermes,Reticulitermes flavipes,34.719835,-86.641111,2024-09-12,"The University of Alabama in Huntsville, Huntsville, AL, US",tboirun,cc-by-nc,https://www.inaturalist.org/observations/241331749
258766795,Reticulitermes,Reticulitermes flavipes,33.246437,-87.540612,2025-01-17,"Ridgeland, Tuscaloosa, AL, US",harpermartin,cc-by-nc,https://www.inaturalist.org/observations/258766795
271006973,Reticulitermes,Reticulitermes flavipes,33.840538,-87.268172,2025-04-13,"Gamble Avenue Park, Jasper, AL, US",aj_s14,cc-by-nc,https://www.inaturalist.org/observations/271006973
272020427,Reticulitermes,Reticulitermes flavipes,33.838825,-87.269438,2025-04-21,"Ridge Rd, Jasper, AL, US",aj_s14,cc-by-nc,https://www.inaturalist.org/observations/272020427
272202385,Reticulitermes,Reticulitermes flavipes,34.913211,-87.725380,2025-04-14,"Along Ijams Branch, off of Co. Rd. 275, Lauderdale County, AL, USA",jeffgarner,cc-by-nc,https://www.inaturalist.org/observations/272202385
311563422,Reticulitermes,Reticulitermes flavipes,30.751645,-87.916199,2025-09-04,"Bay Minette, AL, US",acockrell,,https://www.inaturalist.org/observations/311563422
317144627,Reticulitermes,Reticulitermes flavipes,34.039396,-86.029003,2017-05-06,"Gadsden, AL, US",premiumsaltz,cc-by-nc,https://www.inaturalist.org/observations/317144627
321833102,Reticulitermes,Reticulitermes flavipes,30.511062,-87.915345,2025-10-19,"Fairhope, AL 36532, USA",cft,cc0,https://www.inaturalist.org/observations/321833102
